baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
7128	434.690203820896	1.82889737691184	0.070234319582763	26.0399387048477	1.74906753067358e-149	3.18260327881364e-145
6648	10970.7461758533	2.95966760318657	0.234632644109672	12.6140487160992	1.76678116595439e-36	1.6074175047853e-32
718	3696.17397598387	2.15299724982086	0.196687862239783	10.9462639194082	6.92451287631761e-28	4.19994787658251e-24
64116	487.32757895918	1.91427485914689	0.19162233002987	9.98983186796913	1.68867923783019e-23	7.68180185288955e-20
5971	147.237736964633	1.39491845078225	0.154858685415117	9.00768624661259	2.1044944668306e-19	7.65867626368993e-16
6489	57.135832910478	1.4669584707901	0.168483016344358	8.70686258246841	3.1240146005187e-18	9.47409494517303e-15
344887	318.515293469628	0.809346511878384	0.0942968767443513	8.582962021877	9.24608893077588e-18	2.40345477406283e-14
80149	222.614815033289	1.11753198273589	0.138141865059049	8.089741529537	5.97914768747352e-16	1.35995714151585e-12
4047	2837.85241989934	0.616396124828249	0.0785632668424661	7.84585658924083	4.30008124887478e-15	8.69380871161394e-12
3656	66.439938501111	1.17635530604332	0.151927389722231	7.74287841181272	9.71909764507917e-15	1.76848700749860e-11
64332	665.572927912496	0.862284798420092	0.111951569265822	7.70230202287431	1.33636567906035e-14	2.15721813988687e-11
3397	2335.35665315629	-0.722707134229038	0.0939275402723858	-7.69430490922278	1.4226543019698e-14	2.15721813988687e-11
3575	209.245937925942	-0.952221774611985	0.127481747120688	-7.46947540427502	8.05151560304455e-14	1.1269644454846e-10
677	2420.043602141	0.421813275652233	0.0573589134076229	7.35392723803193	1.92466530639919e-13	2.50151499394569e-10
222658	2339.98947749279	-0.301630756756278	0.0411305245699663	-7.33350133288915	2.24216250998078e-13	2.71989260210736e-10
105369151	17.782837672915	1.94757423001561	0.265912970560382	7.32410391983256	2.40500269881724e-13	2.7350893192299e-10
290	12704.5242936419	0.480058504489493	0.0666016882976858	7.20790293398873	5.68201080762217e-13	6.08175697973488e-10
124935	549.68808793052	1.21340706411127	0.172654298764142	7.02795744326572	2.09578792750867e-12	2.11860872938599e-09
8877	455.650783749038	-0.714919418528212	0.10225137054358	-6.99178323701307	2.71414008996085e-12	2.59928910931198e-09
4891	752.717212586729	0.321478303417899	0.0463649217764903	6.93365352728594	4.10108375185021e-12	3.73116599743332e-09
8740	20.7470306404311	2.90848666649281	0.441419112592684	6.58894593260757	4.42960045859117e-11	3.83814333069167e-08
629	503.99398334099	2.10868390995614	0.3236145089	6.51603637032154	7.21894785396964e-11	5.97072614321962e-08
716	6516.35418912549	0.621052966801924	0.0976697034013512	6.35870638666578	2.03459883430921e-10	1.60963306039523e-07
4792	1059.50824070596	0.750280996554026	0.119420747764618	6.28266872045427	3.32809763154964e-10	2.52325268765322e-07
9589	1480.12538978379	0.600509621037474	0.0971316653769784	6.18242896080111	6.31227196290249e-10	4.41761925526822e-07
9241	86.6907427331312	-1.10782097941243	0.179175054428775	-6.18289740692003	6.29356185881304e-10	4.41761925526822e-07
7130	157.549787373334	2.08057108404355	0.337410939633005	6.16628223823017	6.99142491827099e-10	4.71170251158737e-07
6747	4368.98561637147	-0.197764431272224	0.032635131719215	-6.05986312461499	1.36237430894931e-09	8.85348675915774e-07
1240	702.711495139664	-0.442588981005333	0.0741348659374903	-5.97005168092594	2.37178445677459e-09	1.48817206811967e-06
4163	904.426988766189	0.481224782212023	0.082371349702037	5.84213787867705	5.15351238022695e-09	3.12577704235365e-06
4233	2575.6181690807	-0.391852144545911	0.0678898182416812	-5.77188383611451	7.83901522088944e-09	4.60124906320336e-06
64135	93.1086138128392	0.703477050375614	0.122088407971732	5.76202984429526	8.31082978086672e-09	4.72574558414534e-06
3399	4526.06082221171	-0.863268369687237	0.153786983569245	-5.61340335606842	1.98385423267145e-08	1.06171210640264e-05
2495	67662.1523173692	0.535868110490446	0.0954394555906645	5.61474399842304	1.96853469603504e-08	1.06171210640264e-05
3312	21591.818668781	-0.418900500772999	0.0748183985952785	-5.5988969108921	2.15720022749314e-08	1.10492357465286e-05
5027	47.6486394494334	1.08508098880336	0.193882399072062	5.59659357423186	2.18604356383287e-08	1.10492357465286e-05
80003	410.647471462222	0.448030795083434	0.0804341102304219	5.570159150141	2.54506749638986e-08	1.25162292335973e-05
54893	961.678674356613	-0.245110658207375	0.0440729952583691	-5.5614703918003	2.67511069627174e-08	1.28095563761475e-05
10758	704.751919192379	0.336898626795614	0.0609640826320999	5.52618217563769	3.27274303461749e-08	1.52694441686923e-05
7855	419.091837558129	-0.450795563961102	0.0818866287633161	-5.50511812208163	3.68920825012607e-08	1.67822083298235e-05
9088	134.337393425106	-0.679813773067047	0.126411814374927	-5.377770870773	7.54137044451529e-08	3.34689699044879e-05
9052	336.093120112368	-1.39614751207991	0.260091853263321	-5.36790174149142	7.96579281981895e-08	3.45108490831966e-05
3569	192.948882143835	1.424310484807	0.26883574023989	5.29806968201494	1.17033306863193e-07	4.95241407368061e-05
55299	481.727436015255	-0.316484810757262	0.0606630473238636	-5.21709384409318	1.81752188351692e-07	7.34925070943863e-05
7187	564.719611116803	0.382977607044552	0.0733510533814446	5.22116028863238	1.77805555957967e-07	7.34925070943863e-05
101929319	9.88133929364996	1.7137627105738	0.329140198462018	5.20678640464382	1.92139042760707e-07	7.60035222189963e-05
994	1940.95917718266	0.716476719534805	0.139410655145645	5.13932538934191	2.75726573848095e-07	0.000106747249739148
23586	191.481316077493	0.446605540291703	0.0876668465479888	5.09434932220621	3.49941018600053e-07	0.00013265680780097
6281	6060.0191818024	0.304208859715143	0.0598319556537699	5.08438770538459	3.68813891976184e-07	0.000136957909763238
8506	1172.38231373425	0.565625251400258	0.111577259475634	5.06935959942426	3.99156455470695e-07	0.000145261017274895
23310	1011.40716997817	-0.246915334620099	0.0495339672766344	-4.98476799245941	6.20362065020679e-07	0.000221335453629731
3638	1154.26414778577	0.56898707181376	0.114737960062049	4.95901331613408	7.08521111537673e-07	0.000247927887414221
221336	368.605652312277	0.348970467326307	0.0709403142265161	4.91921231434113	8.68931773063494e-07	0.000298322312125723
9975	538.028765325784	0.301422477767878	0.0613980790008688	4.90931447160771	9.13953184239854e-07	0.000307928216760184
643866	342.354586236784	0.493906440411539	0.100689736836384	4.90523121749851	9.33173466724595e-07	0.000307928216760184
4363	6459.5121938813	0.334233380412734	0.068180244788012	4.90220270478556	9.47679717441761e-07	0.000307928216760184
4791	817.853409722336	0.458803248154686	0.0937722806331146	4.89273850499339	9.94424940108493e-07	0.00031744835456516
10808	1393.36954732751	-0.275941329139775	0.0564754890457701	-4.88603700122262	1.02885870816872e-06	0.000322777811273069
715	7381.92130549606	0.652088332366995	0.134034441300799	4.86508039305796	1.14410293290588e-06	0.000352849101138228
220001	55.0968980211859	0.721932662176828	0.149279038186662	4.83612884264506	1.32392125542191e-06	0.000401501186060951
84549	523.78798356817	-0.245420360289695	0.0508951811022968	-4.82207460459591	1.42072785369302e-06	0.000423796131570461
372	5618.63249887082	-0.151562136798804	0.0314867834503461	-4.81351602769504	1.48297701523349e-06	0.000435229834986913
7334	990.819706449206	-0.305764274745399	0.0635967966407816	-4.80785654146182	1.52557174828927e-06	0.000440623865585262
3320	20494.5624268493	-0.322765738179551	0.0672108412633055	-4.80228683517117	1.5686377177393e-06	0.000445983311124754
1827	723.606151161993	-0.620617626080149	0.129615473883035	-4.7881445593463	1.68330380202606e-06	0.000471221476641018
4093	348.436519604967	-0.725352478578693	0.153278276671814	-4.73225883229203	2.22035032854019e-06	0.000608803139776925
2353	85.7890416442746	-0.665137219598528	0.140611541818216	-4.73031737649548	2.24169105105814e-06	0.000608803139776925
92270	118.09202983042	0.488507466309528	0.103400353294562	4.72442743902326	2.30764590679347e-06	0.000617498895882558
4739	770.278501920924	-0.747146244846544	0.159497270474714	-4.68438263941948	2.80805004139797e-06	0.000736228750409555
2643	67.5353868550023	0.690558958466952	0.147472679432519	4.68262298565574	2.8322715172933e-06	0.000736228750409555
7439	49935.4815168917	0.521055392163299	0.112581077742534	4.62826793464282	3.68736755201021e-06	0.000945004788399687
10826	592.476237183533	0.261437979495529	0.0565894350541271	4.61990792531268	3.83910375551937e-06	0.000970226832436534
7127	610.835777652913	1.48425845655799	0.322143772842585	4.6074410920967	4.07654640305641e-06	0.00101612107328787
8732	481.452689922054	-0.254861200285737	0.0554816384054526	-4.59361344780853	4.3563601144492e-06	0.00107119363030429
3308	3495.37794105397	-0.165603824150932	0.0361581996332825	-4.57997980625394	4.65020826193751e-06	0.00112820252712287
79642	1025.28701705719	-0.33036013628702	0.0722182864492275	-4.574466558678	4.77434855083618e-06	0.00114307955567125
1601	8649.64842635896	0.207503752748251	0.0459646799002675	4.5144174439697	6.34910482680857e-06	0.00150036768089102
3157	1425.52007301081	0.523101091151287	0.116194872700047	4.5019292073382	6.73394131344128e-06	0.00157090764281253
10484	5370.95628730949	-0.148079524926096	0.0329412448927801	-4.49526195528061	6.94843526145183e-06	0.00160042693692883
3099	1342.03070892025	-0.285474982401397	0.0636398567019749	-4.4857892081416	7.26445346323449e-06	0.0016319011755187
571	853.809550739805	0.324466132664546	0.0723031585444343	4.48757895500711	7.2037118554881e-06	0.0016319011755187
